bedrijf,aangepaste_sector,woonplaats,longitude,latitude,schadekosten_2022
Biopetrol Rotterdam BV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.30061,51.88424,304882
Teijin Aramid BV,"Industrie, Energie en Raffinaderijen",Farmsum,6.94496,53.31740,302201
Rademakers Gieterij BV,"Industrie, Energie en Raffinaderijen",Klazienaveen,6.96720,52.71943,300770
FrieslandCampina Bedum,"Industrie, Energie en Raffinaderijen",Bedum,6.59806,53.30908,299432
Loders Croklaan B.V.,"Industrie, Energie en Raffinaderijen",Wormerveer,4.81012,52.48478,298318
Exploitatiemaatschappij Phoenix BV,"Industrie, Energie en Raffinaderijen",Scharsterbrug,5.77996,52.94648,297771
Synthos Breda B.V.,"Industrie, Energie en Raffinaderijen",Breda,4.76153,51.61007,288232
Smurfit Kappa Solid Board Coevorden,"Industrie, Energie en Raffinaderijen",Coevorden,6.73808,52.65754,272657
Staalstraal Brabant BV,"Industrie, Energie en Raffinaderijen",Oosterhout,4.85701,51.66645,265561
Abbott Laboratories B.V.,"Industrie, Energie en Raffinaderijen",Zwolle,6.07226,52.51708,263102
Vliegveld Drachten,Verkeer en vervoer,Drachten,6.12833,53.11806,253943
Goglio North Europe BV,"Industrie, Energie en Raffinaderijen",Zaandam,4.81169,52.44412,251667
FrieslandCampina Workum,"Industrie, Energie en Raffinaderijen",Workum,5.45568,52.97370,249356
Stinoil Holding B.V.,"Industrie, Energie en Raffinaderijen",Veendam,6.89185,53.09897,248580
Diffutherm BV,"Industrie, Energie en Raffinaderijen",Hapert,5.27367,51.35811,245438
Solvay Chemie BV,"Industrie, Energie en Raffinaderijen",Herten,5.95747,51.16667,239469
Keppel Verolme BV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.29403,51.89168,238893
"Eneco Solar, Bio & Hydro BV, WKC Ypenburg","Industrie, Energie en Raffinaderijen",'s-Gravenhage,4.37342,52.05680,236878
BASF Nederland BV Catalysts,"Industrie, Energie en Raffinaderijen",De Meern,5.05391,52.07471,235469
Vink Afvalverwerking BV,"Afval, riolering, waterzuivering",Esveld,5.62030,52.16536,234269
RMD BV,Handel/Diensten/Overheid en Bouw,Farmsum,6.97565,53.30568,229958
Ashland Industries Nederland B.V.,"Industrie, Energie en Raffinaderijen",Zwijndrecht,4.61945,51.80617,229249
Wavin Diensten BV,"Industrie, Energie en Raffinaderijen",Hardenberg,6.62616,52.56708,229031
PQ Silicas BV (Eijsden),"Industrie, Energie en Raffinaderijen",Eijsden,5.71310,50.76989,228228
FrieslandCampina Butter (Lochem),"Industrie, Energie en Raffinaderijen",Lochem,6.42640,52.16444,227127
PURAC Biochem BV,"Industrie, Energie en Raffinaderijen",Gorinchem,4.98785,51.84350,225071
Steenindustrie Strating BV,"Industrie, Energie en Raffinaderijen",Oude Pekela,6.98819,53.09125,223279
Scania Production Zwolle BV,"Industrie, Energie en Raffinaderijen",Zwolle,6.06483,52.51310,221728
RWZI Bath,"Afval, riolering, waterzuivering",Rilland Bath,4.24662,51.39942,221357
Empyro B.V.,"Afval, riolering, waterzuivering",Enschede,6.79014,52.24615,221025
Wienerberger Steenfabriek Nuance,"Industrie, Energie en Raffinaderijen",Afferden,6.02605,51.62222,220906
Cargill BV - Cargill Cocoa (Eenhoorn-Mol),"Industrie, Energie en Raffinaderijen",Wormer,4.79571,52.49664,219849
Allnex Netherlands B.V.,"Industrie, Energie en Raffinaderijen",Bergen op Zoom,4.26728,51.50601,219088
Vliegveld de Kooy,Verkeer en vervoer,de Kooy,4.78278,52.92250,215731
RWZI Zwolle,"Afval, riolering, waterzuivering",Zwolle,6.04934,52.50872,214878
Damen Shiprepair Rotterdam,"Industrie, Energie en Raffinaderijen",Schiedam,4.37729,51.90366,211455
Papierfabriek Doetinchem BV,"Industrie, Energie en Raffinaderijen",Doetinchem,6.29290,51.96024,210285
Koninklijke Mosa BV Wandtegelfabriek,"Industrie, Energie en Raffinaderijen",Maastricht,5.70602,50.85724,206873
SCA Tissue Nederland BV,"Industrie, Energie en Raffinaderijen",Katwijk,5.85786,51.75156,206671
RWZI Susteren,"Afval, riolering, waterzuivering",Susteren,5.83359,51.06257,205740
FMC Chemicals Netherlands BV,"Industrie, Energie en Raffinaderijen",Farmsum,6.96656,53.31157,204406
Dishman Netherlands B.V.,Handel/Diensten/Overheid en Bouw,Veenendaal,5.55988,52.02921,201569
Groot Zevert Vergisting,Landbouw,Beltrum,6.59765,52.07461,200284
ICL-IP Terneuzen BV,"Industrie, Energie en Raffinaderijen",Terneuzen,3.83663,51.30025,199853
Forbo Flooring BV,"Industrie, Energie en Raffinaderijen",Assendelft,4.76691,52.48818,199783
Basell Benelux BV,"Industrie, Energie en Raffinaderijen",Zevenbergen,4.57398,51.66841,199464
RWZI Nieuwgraaf,"Afval, riolering, waterzuivering",Duiven,6.00255,51.97245,197265
Alblasserdam Yachtbuilding B.V. (Oceanco),"Industrie, Energie en Raffinaderijen",Alblasserdam,4.65611,51.86000,195675
RWZI Nieuwegein,"Afval, riolering, waterzuivering",Nieuwegein,5.07054,52.00392,187780
AWZI Kralingseveer,"Afval, riolering, waterzuivering",Capelle aan den IJssel,4.54194,51.90856,185673
Cargill B.V.,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.28321,51.88171,182460
Greif Nederland BV,"Industrie, Energie en Raffinaderijen",Europoort Rotterdam,4.21959,51.90606,179993
Stadsverwarming Purmerend HWC1,"Industrie, Energie en Raffinaderijen",Purmerend,4.96666,52.50120,173521
Gasunie LNG,"Industrie, Energie en Raffinaderijen",Maasvlakte Rotterdam,4.06742,51.94435,171204
Lyempf Kampen BV,"Industrie, Energie en Raffinaderijen",Kampen,5.92606,52.54940,170377
Rixona BV (Warffum),"Industrie, Energie en Raffinaderijen",Warffum,6.52601,53.39455,168879
Dow Benelux BV (Delfzijl),"Industrie, Energie en Raffinaderijen",Delfzijl,6.95803,53.30959,166827
RWZI Elburg,"Afval, riolering, waterzuivering",Elburg,5.83394,52.45811,164580
Vlisco Helmond BV,"Industrie, Energie en Raffinaderijen",Helmond,5.65565,51.47534,163007
AWZI Tollebeek,"Afval, riolering, waterzuivering",Tollebeek,5.68742,52.68685,161798
Havenbedrijf de Rietlanden BV,Handel/Diensten/Overheid en Bouw,Amsterdam,4.86991,52.40750,157890
RWZI Venlo,"Afval, riolering, waterzuivering",Venlo,6.15814,51.38146,155885
Unilever Nederland BV,"Industrie, Energie en Raffinaderijen",Oss,5.53496,51.76499,155548
RWZI Emmen,"Afval, riolering, waterzuivering",Emmen,6.88136,52.73117,154619
FrieslandCampina Kievit (Meppel),"Industrie, Energie en Raffinaderijen",Meppel,6.17409,52.69182,154160
Solidpack BV,"Industrie, Energie en Raffinaderijen",Loenen,6.04296,52.13088,153499
Mars Nederland BV,"Industrie, Energie en Raffinaderijen",Veghel,5.51829,51.61293,148206
Ten Cate Protect BV afd Protective Fabrics,"Industrie, Energie en Raffinaderijen",Nijverdal,6.47084,52.36933,147972
Janssen Biologics BV,"Industrie, Energie en Raffinaderijen",Leiden,4.45499,52.16720,146698
Unipol Holland BV,"Industrie, Energie en Raffinaderijen",Oss,5.55113,51.78266,144302
RWZI Ede,"Afval, riolering, waterzuivering",Ede,5.62116,52.04042,144132
Damen Shiprepair Harlingen BV,"Industrie, Energie en Raffinaderijen",Harlingen,5.43008,53.18983,142455
RWZI Haarlem-Waarderpolder,"Afval, riolering, waterzuivering",Haarlem,4.66875,52.39656,137162
Steenfabriek Nievelsteen BV,Handel/Diensten/Overheid en Bouw,Eygelshoven,6.07295,50.89295,135039
Steenfabriek Linssen BV,"Industrie, Energie en Raffinaderijen",Kerkrade,6.01940,50.85388,133917
Steenfabriek Vogelensangh BV,"Industrie, Energie en Raffinaderijen",Deest,5.67512,51.89012,133701
DIS BV,"Industrie, Energie en Raffinaderijen",Sittard,5.87296,51.01524,133417
Intern. Flav. & Fragranc. I.F.F. BV,"Industrie, Energie en Raffinaderijen",Tilburg,5.04768,51.58459,130490
Ducor Petrochemicals B.V.,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.24411,51.88989,129943
RWZI Walcheren,"Afval, riolering, waterzuivering",Ritthem,3.61452,51.44364,126345
Olenex Edible Oils B.V.,"Industrie, Energie en Raffinaderijen",Vondelingenplaat Rotterdam,4.32879,51.88553,118605
RWZI Arnhem-Zuid,"Afval, riolering, waterzuivering",Arnhem,5.85477,51.96727,118421
W A Sanders Papierfabriek Coldenhove BV,"Industrie, Energie en Raffinaderijen",Eerbeek,6.05559,52.09665,117232
BYK Netherlands B.V.,"Industrie, Energie en Raffinaderijen",Deventer,6.20235,52.24185,115715
Nouryon Functional Chemicals,"Industrie, Energie en Raffinaderijen",Deventer,6.17122,52.24065,114949
Drukkerij Zwart,"Industrie, Energie en Raffinaderijen",Amersfoort,5.36623,52.16515,112888
Huhtamaki Nederland BV,"Industrie, Energie en Raffinaderijen",Franeker,5.54172,53.18228,112569
Abbott Healthcare Products BV,"Industrie, Energie en Raffinaderijen",Weesp,5.03445,52.30348,110145
RWZI Roermond,"Afval, riolering, waterzuivering",Roermond,5.98885,51.21930,109087
RWZI Harderwijk,"Afval, riolering, waterzuivering",Harderwijk,5.63110,52.35778,108169
IOI - Loders Croklaan Oils B.V.,"Industrie, Energie en Raffinaderijen",Maasvlakte Rotterdam,4.02511,51.96842,107880
Delrin Netherlands B.V.,"Industrie, Energie en Raffinaderijen",Dordrecht,4.72339,51.81795,106323
Hochwald Nederland BV,"Industrie, Energie en Raffinaderijen",Bolsward,5.51146,53.06118,105658
Componenta BV (Hoensbroek),"Industrie, Energie en Raffinaderijen",Hoensbroek,5.94052,50.90741,101458
Mayr-Melnhof Eerbeek BV,"Industrie, Energie en Raffinaderijen",Eerbeek,6.06343,52.10389,101135
WEPA Nederland B.V.,"Industrie, Energie en Raffinaderijen",Swalmen,6.03060,51.23277,100599
Gasunie (Spijk),"Industrie, Energie en Raffinaderijen",Spijk,6.86982,53.41165,99668
Gasunie (Ravenstein),"Industrie, Energie en Raffinaderijen",Huisseling,5.66150,51.78253,99176
RWZI Tiel,"Afval, riolering, waterzuivering",Tiel,5.43222,51.91727,96945
BASF Nederland B.V. (Nijehaske),"Industrie, Energie en Raffinaderijen",Nijehaske,5.88958,52.96970,96177
Mead Johnson BV,"Industrie, Energie en Raffinaderijen",Nijmegen,5.80817,51.84371,95783
KBM Master Alloys BV (Delfzijl),"Industrie, Energie en Raffinaderijen",Delfzijl,6.97433,53.30398,95744
Solidus Solutions Board B.V. (Hoogkerk),"Industrie, Energie en Raffinaderijen",Groningen,6.50766,53.21353,94560
RWZI Deventer,"Afval, riolering, waterzuivering",Deventer,6.12880,52.27119,94192
RWZI Etten,"Afval, riolering, waterzuivering",Terborg,6.32051,51.93269,93453
RWZI Horstermeer,"Afval, riolering, waterzuivering",Nederhorst den Berg,5.08566,52.25803,93390
RWZI Dongemond,"Afval, riolering, waterzuivering",Oosterhout,4.85123,51.67457,92035
Damen Schelde Naval Shipbuilding B.V. en Scheldepoort B.V,"Industrie, Energie en Raffinaderijen",Ritthem,3.67179,51.46140,91924
SACHEM Europe BV,"Industrie, Energie en Raffinaderijen",Zaltbommel,5.26326,51.79810,91067
Alblasserdam Yachtbuilding Construction B.V.,"Industrie, Energie en Raffinaderijen",Zwijndrecht,4.61939,51.80917,91025
Scheepswerf K.S.G.,"Industrie, Energie en Raffinaderijen",Vlissingen,3.57751,51.44558,90372
Nederlof Scheepsbouw BV,"Industrie, Energie en Raffinaderijen",Geertruidenberg,4.86146,51.70755,89735
Wilmar Oleochemicals BV,Handel/Diensten/Overheid en Bouw,BOTLEK ROTTERDAM,4.25733,51.88463,89685
RWZI Leeuwarden,"Afval, riolering, waterzuivering",Leeuwarden,5.82860,53.19504,89245
NV Nutricia Zoetermeer,"Industrie, Energie en Raffinaderijen",Zoetermeer,4.49505,52.04753,88512
FrieslandCampina Cheese (Gerkesklooster),"Industrie, Energie en Raffinaderijen",Gerkesklooster,6.20050,53.23847,87732
RWZI Zaandam-Oost,"Afval, riolering, waterzuivering",Zaandam,4.85824,52.43009,87516
FrieslandCampina Cheese Marum,"Industrie, Energie en Raffinaderijen",Marum,6.25396,53.14060,86462
Scheepswerf Hoebee,"Industrie, Energie en Raffinaderijen",Dordrecht,4.68886,51.81838,86407
PQ Silicas BV (Maastricht),"Industrie, Energie en Raffinaderijen",Maastricht,5.70448,50.88178,86391
Invista Nederland BV (Rozenburg),"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.25563,51.88763,86145
ICL Fertilizers Europe CV,"Industrie, Energie en Raffinaderijen",Amsterdam,4.87346,52.40545,85625
Scania Production Meppel BV,"Industrie, Energie en Raffinaderijen",Meppel,6.17813,52.69449,85412
DSM Resins BV,"Industrie, Energie en Raffinaderijen",Hoek Van Holland,4.15303,51.96476,84532
CONO Kaasmakers (Middenbeemster),"Industrie, Energie en Raffinaderijen",Westbeemster,4.87436,52.55675,84379
Aliancys Nederland B.V.,"Industrie, Energie en Raffinaderijen",Zandpol,6.86895,52.68968,83068
Nuon WKC Almere,"Industrie, Energie en Raffinaderijen",Almere,5.21568,52.38832,78668
RWZI Weert,"Afval, riolering, waterzuivering",Weert,5.73656,51.26652,78478
Grolsche Bierbrouwerij Nederland BV,"Industrie, Energie en Raffinaderijen",Enschede,6.81553,52.20671,78142
RWZI Maastricht-Limmel,"Afval, riolering, waterzuivering",Maastricht,5.70276,50.87230,77956
Schut Flexible Packaging,"Industrie, Energie en Raffinaderijen",Etten-Leur,4.62248,51.56735,75373
Nefit Industrial BV,"Industrie, Energie en Raffinaderijen",Deventer,6.17860,52.24375,74786
RWZI Amstelveen,"Afval, riolering, waterzuivering",Amstelveen,4.88954,52.31231,74113
Offshore Ruijtenberg BV,"Industrie, Energie en Raffinaderijen",Raamsdonksveer,4.86933,51.70093,73422
Bavaria NV,"Industrie, Energie en Raffinaderijen",Lieshout,5.60185,51.51456,72945
DOC Kaas (Zuivelfabriek),"Industrie, Energie en Raffinaderijen",Hoogeveen,6.47624,52.70831,70408
E.on Schenkkade,"Industrie, Energie en Raffinaderijen",Den Haag,4.33375,52.07636,69916
TU Delft Warmtekrachtcentrale,Handel/Diensten/Overheid en Bouw,Delft,4.36930,51.99977,69632
Ennatuurlijk (Tilburg),"Industrie, Energie en Raffinaderijen",Tilburg,5.01997,51.59164,68181
FrieslandCampina Born,"Industrie, Energie en Raffinaderijen",Born,5.82363,51.05659,67555
"Eneco Solar, Bio & Hydro / HWC Ypenburg","Industrie, Energie en Raffinaderijen",'s-Gravenhage,4.35941,52.04316,67312
Afvalstoffendienst gemeente 's-Hertogenbosch,"Afval, riolering, waterzuivering",Den Bosch,5.27738,51.73190,66764
Standic BV,Handel/Diensten/Overheid en Bouw,Dordrecht,4.63353,51.78783,65700
Gasunie (Beverwijk),"Industrie, Energie en Raffinaderijen",Heemskerk,4.70006,52.48784,64969
Greenergy Biofuels Amsterdam B.V.,Handel/Diensten/Overheid en Bouw,Amsterdam,4.77277,52.39885,64335
FrieslandCampina Lutjewinkel,"Industrie, Energie en Raffinaderijen",Lutjewinkel,4.88200,52.76434,63769
RWZI Veenendaal,"Afval, riolering, waterzuivering",Overberg,5.52275,52.03825,63583
Vetsmelterij C.M. Bosland BV,"Industrie, Energie en Raffinaderijen",Almere,5.25582,52.41246,63075
Tata Steel Nederland Tubes BV (Oosterhout),"Industrie, Energie en Raffinaderijen",Oosterhout,4.88898,51.62470,62013
Loparex BV,"Industrie, Energie en Raffinaderijen",Apeldoorn,5.94367,52.19117,60163
RWZI Assen,"Afval, riolering, waterzuivering",Assen,6.57467,53.00141,59826
IHC Offshore & Marine B.V.,"Industrie, Energie en Raffinaderijen",Krimpen aan den IJssel,4.57310,51.90624,59621
RWZI Leiden Zuid-West,"Afval, riolering, waterzuivering",Leiden,4.47403,52.13648,59611
Teijin Aramid BV (Emmen),"Industrie, Energie en Raffinaderijen",Emmen,6.90699,52.77500,59233
RWZI Land van Cuijk,"Afval, riolering, waterzuivering",Haps,5.89348,51.69624,58745
RWZI Scheemda,"Afval, riolering, waterzuivering",Scheemda,7.00811,53.16449,58612
DSM Engineering Plastics (Emmen) BV,"Industrie, Energie en Raffinaderijen",Emmen,6.90699,52.77500,58603
RWZI Den Helder,"Afval, riolering, waterzuivering",Den Helder,4.79010,52.92880,57501
Elementis Specialties Netherlands B.V.,"Industrie, Energie en Raffinaderijen",Delden,6.67903,52.25704,57180
Linde Gas Benelux BV,"Industrie, Energie en Raffinaderijen",Velsen Noord,4.60405,52.48447,56012
RWZI Terneuzen,"Afval, riolering, waterzuivering",Terneuzen,3.83838,51.29641,55766
RWZI Renkum,"Afval, riolering, waterzuivering",Renkum,5.72479,51.96684,55766
Arla Foods BV,"Industrie, Energie en Raffinaderijen",Nijkerk,5.47855,52.23660,55240
RWZI Willem Annapolder,"Afval, riolering, waterzuivering",Kapelle,3.93449,51.45009,54766
Sonac Eindhoven BV,"Industrie, Energie en Raffinaderijen",Eindhoven,5.44760,51.43025,54432
Romi Smilfood BV (Heerenveen),"Industrie, Energie en Raffinaderijen",Heerenveen,5.95234,52.93123,54403
Ennatuurlijk B.V. (Eindhoven),"Industrie, Energie en Raffinaderijen",Eindhoven,5.45407,51.44927,54251
Givaudan Nederland BV (Barneveld),"Industrie, Energie en Raffinaderijen",Barneveld,5.57722,52.16715,54194
Delfluent Services BV,"Afval, riolering, waterzuivering",Den Hoorn,4.31888,52.01541,53428
DSM NeoResins B.V.,"Industrie, Energie en Raffinaderijen",Waalwijk,5.05425,51.69667,52588
Remia CV,"Industrie, Energie en Raffinaderijen",Den Dolder,5.23821,52.13998,52206
AFP Holland BV,"Industrie, Energie en Raffinaderijen",Apeldoorn,5.93977,52.19084,52124
Brabant Alucast International,"Industrie, Energie en Raffinaderijen",Oss,5.55095,51.78380,50463
COATEX Netherlands BV,"Industrie, Energie en Raffinaderijen",Moerdijk,4.58416,51.68962,49781
RWZI Holten,"Afval, riolering, waterzuivering",Holten,6.41213,52.24330,49612
Noblesse Proteins BV,"Industrie, Energie en Raffinaderijen",Wijster,6.50580,52.78784,49171
RWZI Drachten,"Afval, riolering, waterzuivering",Drachten,6.05984,53.11268,48899
Groen Gas Gelderland B.V.,"Industrie, Energie en Raffinaderijen",Bemmel,5.91270,51.91809,48898
Vrumona BV,"Industrie, Energie en Raffinaderijen",Bunnik,5.20055,52.06245,48824
Invista Polyester BV,"Industrie, Energie en Raffinaderijen",Vlissingen Oost,3.55149,51.48436,47478
Scheepswerf Kooiman BV,"Industrie, Energie en Raffinaderijen",Zwijndrecht,4.61232,51.81197,46981
Scheepswerf en machinefabriek 't Ambacht,"Industrie, Energie en Raffinaderijen",Hendrik-Ido-Ambacht,4.65313,51.85263,46223
Hexion VAD B.V.,"Industrie, Energie en Raffinaderijen",Vondelingenplaat Rotterdam,4.35388,51.88340,46153
SPGPrints,"Industrie, Energie en Raffinaderijen",Boxmeer,5.94265,51.63928,46021
RWZI Leiden Noord,"Afval, riolering, waterzuivering",Leiden,4.49405,52.17439,45849
RWZI Alkmaar,"Afval, riolering, waterzuivering",Alkmaar,4.74111,52.64234,45836
Hyproca Dairy BV,"Industrie, Energie en Raffinaderijen",Ommen,6.42194,52.50720,45326
RWZI Velsen,"Afval, riolering, waterzuivering",Velsen Zuid,4.65971,52.45946,44916
GDF SUEZ Centrale Bergum,"Industrie, Energie en Raffinaderijen",Bergum,6.02977,53.20955,43658
RWZI Veendam,"Afval, riolering, waterzuivering",Veendam,6.90054,53.10406,43265
RWZI Venray,"Afval, riolering, waterzuivering",Venray,5.98862,51.55103,42706
Inter-Che-M BV,"Afval, riolering, waterzuivering",Beuningen,5.73082,51.85519,42160
UZIMET BV,"Industrie, Energie en Raffinaderijen",Rijswijk,4.34758,52.03405,40496
DCC Maastricht B.V.,"Industrie, Energie en Raffinaderijen",Maastricht,5.68016,50.86545,38469
Caldic Chemie BV,Handel/Diensten/Overheid en Bouw,Europoort Rotterdam,4.18000,51.92840,37780
Huntsman Holland BV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.24920,51.88901,37554
RWZI Boxtel,"Afval, riolering, waterzuivering",Boxtel,5.32801,51.60867,37337
FrieslandCampina Cheese Steenderen,"Industrie, Energie en Raffinaderijen",Steenderen,6.19691,52.05909,37098
RWZI Wijlre,"Afval, riolering, waterzuivering",Wijlre,5.89661,50.82687,36738
RWZI Dronten,"Afval, riolering, waterzuivering",Dronten,5.71735,52.53669,36511
RWZI Heiloo,"Afval, riolering, waterzuivering",Heiloo,4.72161,52.59460,36261
Technoplating Lelystad B.V.,"Industrie, Energie en Raffinaderijen",Lelystad,5.44542,52.49762,36197
Energiecoöperatie Greenhouse Energy,"Industrie, Energie en Raffinaderijen",Bemmel,5.91757,51.91543,35906
Meneba Meel BV,"Industrie, Energie en Raffinaderijen",Rotterdam,4.48065,51.89462,35700
Kemira Rotterdam BV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.26606,51.89474,35626
Celanese Emulsions BV,"Industrie, Energie en Raffinaderijen",Geleen,5.79834,50.95276,34839
Hilton Meats Zaandam B.V.,Handel/Diensten/Overheid en Bouw,Zaandam,4.80108,52.42694,34644
Heiploeg International BV,Handel/Diensten/Overheid en Bouw,Zoutkamp,6.30161,53.34551,34611
FrieslandCampina Maasdam,"Industrie, Energie en Raffinaderijen",Maasdam,4.54725,51.79039,34602
Dr. W. Kolb Nederland BV,"Industrie, Energie en Raffinaderijen",Klundert,4.55917,51.67302,34376
Ten Cate Technical Fabrics BV (PC Stamstraat),"Industrie, Energie en Raffinaderijen",Nijverdal,6.47903,52.35595,33098
Trobas Gelatine BV,"Industrie, Energie en Raffinaderijen",Dongen,4.92125,51.61791,31382
Ondergrondse aardgasopslag Zuidwending,"Industrie, Energie en Raffinaderijen",Veendam,6.93305,53.08320,30935
AMC Academisch Medisch Centrum,Handel/Diensten/Overheid en Bouw,Amsterdam,4.95790,52.29501,30895
RWZI 's-Hertogenbosch,"Afval, riolering, waterzuivering",Den Bosch,5.28345,51.72100,30367
Nutricia Cuijk BV,"Industrie, Energie en Raffinaderijen",Cuijk,5.88796,51.72357,29982
De Gerlien van Tiem B.V.,"Industrie, Energie en Raffinaderijen",Druten,5.60192,51.89607,29515
Holland Malt (Bavaria),"Industrie, Energie en Raffinaderijen",Eemshaven,6.82125,53.45519,28994
Veka Shipyard Lemmer B.V.,"Industrie, Energie en Raffinaderijen",Lemmer,5.71669,52.84242,28341
Steenbakkerij Randwijk BV,"Industrie, Energie en Raffinaderijen",Heteren,5.72988,51.96583,28079
Eneco (Nieuwegein),"Industrie, Energie en Raffinaderijen",Nieuwegein,5.08426,52.02579,28046
RWZI Amsterdam-West,"Afval, riolering, waterzuivering",Amsterdam,4.78716,52.39853,27718
FrieslandCampina Butter (Noordwijk),"Industrie, Energie en Raffinaderijen",Noordwijk,6.25749,53.17090,26681
Fokker Aerostructures BV,"Industrie, Energie en Raffinaderijen",Papendrecht,4.67991,51.82511,26167
Euro Support Advanced Materials B.V.,"Industrie, Energie en Raffinaderijen",Uden,5.64674,51.65208,25359
RWZI Franeker,"Afval, riolering, waterzuivering",Franeker,5.58027,53.17750,25129
Lucite International Holland BV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.25555,51.88598,24964
Schiffers Food BV,"Industrie, Energie en Raffinaderijen",Hoensbroek,5.93822,50.90378,24744
Oxea Nederland BV,Handel/Diensten/Overheid en Bouw,Amsterdam,4.80409,52.40629,24650
Gasunie (Zweekhorst),"Industrie, Energie en Raffinaderijen",Zevenaar,6.08337,51.96396,23718
AWZI De Groote Lucht (Vlaardingen),"Afval, riolering, waterzuivering",Vlaardingen,4.30309,51.89999,23064
Zeepfabriek De Klok BV,"Industrie, Energie en Raffinaderijen",Heerde,6.03217,52.39518,22503
IJ-palen,Handel/Diensten/Overheid en Bouw,IJmuiden,4.58147,52.46948,22376
Givaudan Nederland BV (Naarden),"Industrie, Energie en Raffinaderijen",Naarden,5.18242,52.29601,22341
Koninklijke VIV Buisman B.V.,"Industrie, Energie en Raffinaderijen",Zelhem,6.34979,52.00113,22322
Remat Chemie B.V.,"Afval, riolering, waterzuivering",Helmond,5.66912,51.46587,22001
Avery Dennison Materials Nederland BV,"Industrie, Energie en Raffinaderijen",Alphen aan den Rijn,4.63960,52.13006,21854
CZL Tilburg BV,"Industrie, Energie en Raffinaderijen",Tilburg,5.02934,51.58926,21747
Rouveen Kaasspecialiteiten,"Industrie, Energie en Raffinaderijen",Rouveen,6.18586,52.61971,21383
RWZI Olburgen,"Afval, riolering, waterzuivering",Olburgen,6.14522,52.04667,21035
Nedzink BV,"Industrie, Energie en Raffinaderijen",Budel Dorplein,5.59984,51.23753,20538
Enrichment Technology Company Nederland,"Industrie, Energie en Raffinaderijen",Almelo,6.68683,52.33784,20181
Scheepswerf De Schroef,"Industrie, Energie en Raffinaderijen",Sluiskil,3.82947,51.26716,19992
UMC St Radboud & Radboud Universiteit Nijmegen,Handel/Diensten/Overheid en Bouw,Nijmegen,5.86548,51.81981,19819
Riedel B.V.,"Industrie, Energie en Raffinaderijen",Ede,5.64732,52.03220,19467
Smit Draad,"Industrie, Energie en Raffinaderijen",Nijmegen,5.81017,51.84231,19302
PPG Coatings,"Industrie, Energie en Raffinaderijen",Tiel,5.41262,51.88328,19223
Intervet Schering-Plough Animal Health (De Bilt),"Industrie, Energie en Raffinaderijen",De Bilt,5.18567,52.10906,19083
TANATEX Chemicals BV,"Industrie, Energie en Raffinaderijen",Ede,5.64482,52.02861,19042
HWC Amsterdam Driehoek,"Industrie, Energie en Raffinaderijen",Amsterdam,4.83429,52.34058,18814
Scheepswerf Slob BV,"Industrie, Energie en Raffinaderijen",Papendrecht,4.72257,51.82450,18763
Arrow Terminals,Handel/Diensten/Overheid en Bouw,Nieuwdorp,3.70600,51.43900,18153
Prysmian Netherlands B.V.,"Industrie, Energie en Raffinaderijen",Delft,4.36430,51.99568,17985
Heineken Nederland BV (Den Bosch),"Industrie, Energie en Raffinaderijen",'s-Hertogenbosch,5.27871,51.70212,17286
Arkema BV Location Brummen,Handel/Diensten/Overheid en Bouw,Brummen,6.15397,52.10302,16704
Delamine BV,"Industrie, Energie en Raffinaderijen",Farmsum,6.96172,53.31367,16622
Nobian Chemicals BV (Chemie Park Delfzijl),"Industrie, Energie en Raffinaderijen",Farmsum,6.94789,53.31960,16603
FrieslandCampina Rotterdam,"Industrie, Energie en Raffinaderijen",Rotterdam,4.41596,51.93005,16246
RWZI Bergum-Suameer,"Afval, riolering, waterzuivering",Sumar,5.99602,53.18353,15655
Sonac Harlingen BV,"Industrie, Energie en Raffinaderijen",Harlingen,5.43579,53.17996,15552
Zincoat BV,"Industrie, Energie en Raffinaderijen",Veenoord,6.84439,52.72100,15032
Pernis PVC Plant,"Industrie, Energie en Raffinaderijen",Vondelingenplaat Rotterdam,4.34662,51.87605,14753
Merck Sharp & Dohme BV (De Geer),"Industrie, Energie en Raffinaderijen",Oss,5.55483,51.78227,14683
Smurfit Kappa Solid Board KM4 (Oude Pekela),"Industrie, Energie en Raffinaderijen",Oude Pekela,6.98746,53.09302,14649
RZB Holding BV,"Industrie, Energie en Raffinaderijen",Rotterdam,4.41598,51.89084,14584
FrieslandCampina Den Bosch,"Industrie, Energie en Raffinaderijen",'s-Hertogenbosch,5.32936,51.68417,14058
BRF B.V.,"Industrie, Energie en Raffinaderijen",Oosterwolde,6.30145,52.98343,13962
RWZI Waalwijk,"Afval, riolering, waterzuivering",Waalwijk,5.07178,51.71163,13812
Van Merksteijn Plastics B.V.,"Industrie, Energie en Raffinaderijen",Enschede,6.80929,52.20555,13708
