bedrijf,aangepaste_sector,woonplaats,longitude,latitude,schadekosten_2022
Saint Gobain Construction Products,"Industrie, Energie en Raffinaderijen",Etten-Leur,4.60295,51.56606,5586347
Nuon Power Generation BV (Hemweg),"Industrie, Energie en Raffinaderijen",Amsterdam,4.84710,52.40531,5466209
Vliegveld Luchthaven Eelde,Verkeer en vervoer,Groningen,6.57806,53.12056,5462988
Recycling Kombinatie Bouw- en Sloopafval Rotterdam,"Afval, riolering, waterzuivering",Vondelingenplaat Rotterdam,4.33281,51.88865,5411155
Europees Massagoed-Overslagbedrijf (Emo) B.V.,Handel/Diensten/Overheid en Bouw,Maasvlakte Rotterdam,4.04929,51.93814,5398271
SUEZ ReEnergy Roosendaal,"Afval, riolering, waterzuivering",Roosendaal,4.44361,51.54762,5284302
RWE Generation NL B.V.,"Industrie, Energie en Raffinaderijen",Moerdijk Kluntert,4.58079,51.68490,5254468
Vliegveld Luchthaven Maastricht,Verkeer en vervoer,Maastricht,5.76944,50.91250,5185331
ARN B.V.,"Afval, riolering, waterzuivering",Weurt,5.79452,51.84631,5142887
Nobian Chemicals BV (Hengelo),"Industrie, Energie en Raffinaderijen",Hengelo,6.79425,52.24674,5132651
EEW Energy from Waste Delfzijl B.V.,"Afval, riolering, waterzuivering",Farmsum,6.98764,53.30973,4972716
Vliegveld Teuge,Verkeer en vervoer,Teuge,6.04667,52.24139,4889785
Sappi Maastricht BV,"Industrie, Energie en Raffinaderijen",Maastricht,5.69424,50.85772,4748351
HVC Afvalcentrale Dordrecht,"Afval, riolering, waterzuivering",Dordrecht,4.73767,51.81542,4615187
Bunge Netherlands BV (Soja),"Industrie, Energie en Raffinaderijen",Amsterdam,4.86473,52.40161,4460770
Hexion B.V.,"Industrie, Energie en Raffinaderijen",Vondelingenplaat Rotterdam,4.34662,51.87605,4441750
Eneco Bio Golden Raand,"Industrie, Energie en Raffinaderijen",Farmsum,6.98392,53.31022,4425767
Waalsteenfabriek De Bylandt BV,"Industrie, Energie en Raffinaderijen",Tolkamer,6.07310,51.86518,4289497
Steenfabriek Engels Helden BV,"Industrie, Energie en Raffinaderijen",Panningen,5.97185,51.33355,4256705
Gouda Refractories BV,"Industrie, Energie en Raffinaderijen",Gouda,4.68996,52.01449,4146629
Rendac Son BV,"Industrie, Energie en Raffinaderijen",Son,5.44625,51.50485,4126628
Reststoffen Energie Centrale (REC),"Afval, riolering, waterzuivering",Harlingen,5.42910,53.19046,4039029
Albemarle Catalysts Company B.V.,"Industrie, Energie en Raffinaderijen",Amsterdam,4.94024,52.38460,4012379
Emmtec Services BV,"Industrie, Energie en Raffinaderijen",Emmen,6.90699,52.77500,4002649
Afvalstoffen Terminal Moerdijk BV (ATM),"Afval, riolering, waterzuivering",Moerdijk,4.59953,51.69383,3952377
Sonac Burgum BV,"Afval, riolering, waterzuivering",Sumar,5.99168,53.18099,3873817
