Stof,Bedrijf,Jaar,Hoeveelheid,Eenheid
Zwaveloxiden (als SO2),A. Jansen B.V.,2022,290,kg
Grof stof,A. Jansen B.V.,2022,358,kg
TSP (Totaal stof),A. Jansen B.V.,2022,358,kg
Koolstofmonoxide,A. Jansen B.V.,2022,3220,kg
Stikstofoxiden (als NO2),A. Jansen B.V.,2022,19742,kg
Koolstofdioxide,A. Jansen B.V.,2022,4373455,kg CO₂-eq
Koolstofdioxide,A. Jansen B.V.,2022,4373455,kg
HFK-32 (Difluor-Methaan),Abbott Healthcare Products BV,2022,1,kg
Zwaveloxiden (als SO2),Abbott Healthcare Products BV,2022,16,kg
Grof stof,Abbott Healthcare Products BV,2022,26,kg
TSP (Totaal stof),Abbott Healthcare Products BV,2022,26,kg
Koolstofmonoxide,Abbott Healthcare Products BV,2022,52,kg
Overige HFK's,Abbott Healthcare Products BV,2022,158,kg
"HFK-134a (1,1,1,2-tetrafluorethaan)",Abbott Healthcare Products BV,2022,186,kg
HFK's of H-F-KWS,Abbott Healthcare Products BV,2022,344,kg
Dichloormethaan,Abbott Healthcare Products BV,2022,367,kg
Halogeenverb.org.,Abbott Healthcare Products BV,2022,710,kg
HFK-32 (Difluor-Methaan),Abbott Healthcare Products BV,2022,779,kg CO₂-eq
VOS,Abbott Healthcare Products BV,2022,1492,kg
NMVOS,Abbott Healthcare Products BV,2022,1493,kg
Stikstofoxiden (als NO2),Abbott Healthcare Products BV,2022,3544,kg
"HFK-134a (1,1,1,2-tetrafluorethaan)",Abbott Healthcare Products BV,2022,241150,kg CO₂-eq
Koolstofdioxide,Abbott Healthcare Products BV,2022,10724058,kg CO₂-eq
Koolstofdioxide,Abbott Healthcare Products BV,2022,10724058,kg
Grof stof,Abbott Laboratories B.V.,2022,2,kg
TSP (Totaal stof),Abbott Laboratories B.V.,2022,2,kg
Overige HFK's,Abbott Laboratories B.V.,2022,52,kg
"HFK-134a (1,1,1,2-tetrafluorethaan)",Abbott Laboratories B.V.,2022,67,kg
Halogeenverb.org.,Abbott Laboratories B.V.,2022,118,kg
HFK's of H-F-KWS,Abbott Laboratories B.V.,2022,118,kg
NMVOS,Abbott Laboratories B.V.,2022,118,kg
VOS,Abbott Laboratories B.V.,2022,118,kg
Grof stof,Abbott Laboratories B.V.,2022,3176,kg
TSP (Totaal stof),Abbott Laboratories B.V.,2022,3176,kg
Stikstofoxiden (als NO2),Abbott Laboratories B.V.,2022,9083,kg
"HFK-134a (1,1,1,2-tetrafluorethaan)",Abbott Laboratories B.V.,2022,86450,kg CO₂-eq
Koolstofdioxide,Abbott Laboratories B.V.,2022,16632052,kg CO₂-eq
Koolstofdioxide,Abbott Laboratories B.V.,2022,16632052,kg
Koolstofdioxide,ABL-Technic Uden B.V.,2022,1033729,kg CO₂-eq
Koolstofdioxide,ABL-Technic Uden B.V.,2022,1033729,kg
NMVOS,AFP Holland BV,2022,11412,kg
VOS,AFP Holland BV,2022,11412,kg
Koolstofdioxide,AFP Holland BV,2022,531986,kg CO₂-eq
Koolstofdioxide,AFP Holland BV,2022,531986,kg
"Fijnstof (PM2,5)",Afrikahaven Coal Terminal BV,2022,4012,kg
Fijnstof (PM10),Afrikahaven Coal Terminal BV,2022,26745,kg
Grof stof,Afrikahaven Coal Terminal BV,2022,66863,kg
TSP (Totaal stof),Afrikahaven Coal Terminal BV,2022,93608,kg
Halogeenverb.org.,Afval Energie Bedrijf (Amsterdam),2022,1,kg
Seleenverb. (als Se),Afval Energie Bedrijf (Amsterdam),2022,1,kg
Antimoonverb. (als Sb),Afval Energie Bedrijf (Amsterdam),2022,2,kg
Arseenverb. (als As),Afval Energie Bedrijf (Amsterdam),2022,2,kg
Kwikverb. (als Hg),Afval Energie Bedrijf (Amsterdam),2022,3,kg
Cadmiumverb. (als Cd),Afval Energie Bedrijf (Amsterdam),2022,4,kg
Koperverb. (als Cu),Afval Energie Bedrijf (Amsterdam),2022,7,kg
Loodverb. (als Pb),Afval Energie Bedrijf (Amsterdam),2022,7,kg
Chroomverb. (als Cr),Afval Energie Bedrijf (Amsterdam),2022,18,kg
Zinkverb. (als Zn),Afval Energie Bedrijf (Amsterdam),2022,32,kg
Nikkelverb. (als Ni),Afval Energie Bedrijf (Amsterdam),2022,49,kg
Benzeen,Afval Energie Bedrijf (Amsterdam),2022,60,kg
Tolueen,Afval Energie Bedrijf (Amsterdam),2022,120,kg
Fluoriden anorganisch (als HF),Afval Energie Bedrijf (Amsterdam),2022,567,kg
Etheen,Afval Energie Bedrijf (Amsterdam),2022,602,kg
NMVOS,Afval Energie Bedrijf (Amsterdam),2022,2408,kg
Methaan,Afval Energie Bedrijf (Amsterdam),2022,3613,kg
VOS,Afval Energie Bedrijf (Amsterdam),2022,6021,kg
Fijnstof (PM10),Afval Energie Bedrijf (Amsterdam),2022,7442,kg
"Fijnstof (PM2,5)",Afval Energie Bedrijf (Amsterdam),2022,7442,kg
TSP (Totaal stof),Afval Energie Bedrijf (Amsterdam),2022,7442,kg
Chloriden,Afval Energie Bedrijf (Amsterdam),2022,8889,kg
Ammoniak,Afval Energie Bedrijf (Amsterdam),2022,15095,kg
Zwaveloxiden (als SO2),Afval Energie Bedrijf (Amsterdam),2022,32487,kg
Distikstofoxide,Afval Energie Bedrijf (Amsterdam),2022,36765,kg
Koolstofmonoxide,Afval Energie Bedrijf (Amsterdam),2022,87228,kg
Methaan,Afval Energie Bedrijf (Amsterdam),2022,101153,kg CO₂-eq
Stikstofoxiden (als NO2),Afval Energie Bedrijf (Amsterdam),2022,584176,kg
Distikstofoxide,Afval Energie Bedrijf (Amsterdam),2022,9742725,kg CO₂-eq
Koolstofdioxide,Afval Energie Bedrijf (Amsterdam),2022,1240130287,kg CO₂-eq
Koolstofdioxide,Afval Energie Bedrijf (Amsterdam),2022,1240130287,kg
Zwaveloxiden (als SO2),Afvalstoffen Terminal Moerdijk BV (ATM),2022,520,kg
Elementair koolstof (EC2.5),Afvalstoffen Terminal Moerdijk BV (ATM),2022,1872,kg
Koolstofmonoxide,Afvalstoffen Terminal Moerdijk BV (ATM),2022,5445,kg
"Fijnstof (PM2,5)",Afvalstoffen Terminal Moerdijk BV (ATM),2022,5630,kg
Fijnstof (PM10),Afvalstoffen Terminal Moerdijk BV (ATM),2022,6194,kg
Grof stof,Afvalstoffen Terminal Moerdijk BV (ATM),2022,69734,kg
TSP (Totaal stof),Afvalstoffen Terminal Moerdijk BV (ATM),2022,75928,kg
Stikstofoxiden (als NO2),Afvalstoffen Terminal Moerdijk BV (ATM),2022,87063,kg
Koolstofdioxide,Afvalstoffen Terminal Moerdijk BV (ATM),2022,144405982,kg CO₂-eq
Koolstofdioxide,Afvalstoffen Terminal Moerdijk BV (ATM),2022,144405982,kg
Grof stof,Afvalstoffendienst gemeente 's-Hertogenbosch,2022,22,kg
TSP (Totaal stof),Afvalstoffendienst gemeente 's-Hertogenbosch,2022,22,kg
Zwaveloxiden (als SO2),Afvalstoffendienst gemeente 's-Hertogenbosch,2022,275,kg
Stikstofoxiden (als NO2),Afvalstoffendienst gemeente 's-Hertogenbosch,2022,1708,kg
Koolstofdioxide,Afvalstoffendienst gemeente 's-Hertogenbosch,2022,3043471,kg CO₂-eq
Koolstofdioxide,Afvalstoffendienst gemeente 's-Hertogenbosch,2022,3043471,kg
Stikstofoxiden (als NO2),Agristo NV,2022,1872,kg
Zwaveloxiden (als SO2),Agristo NV,2022,20984,kg
Koolstofdioxide,Agristo NV,2022,43895299,kg CO₂-eq
Koolstofdioxide,Agristo NV,2022,43895299,kg
Cyaniden,AHC Benelux B.V.,2022,4,kg
Chloriden,AHC Benelux B.V.,2022,12,kg
Koolstofmonoxide,AHC Benelux B.V.,2022,659,kg
Koolstofdioxide,AHC Benelux B.V.,2022,744622,kg CO₂-eq
Koolstofdioxide,AHC Benelux B.V.,2022,744622,kg
Benzeen,Air Liquide Nederland BV,2022,135,kg
Tolueen,Air Liquide Nederland BV,2022,271,kg
Zwaveloxiden (als SO2),Air Liquide Nederland BV,2022,309,kg
Grof stof,Air Liquide Nederland BV,2022,533,kg
TSP (Totaal stof),Air Liquide Nederland BV,2022,533,kg
Koolstofmonoxide,Air Liquide Nederland BV,2022,546,kg
Grof stof,Air Liquide Nederland BV,2022,707,kg
TSP (Totaal stof),Air Liquide Nederland BV,2022,707,kg
Etheen,Air Liquide Nederland BV,2022,1354,kg
Ammoniak,Air Liquide Nederland BV,2022,1605,kg
NMVOS,Air Liquide Nederland BV,2022,5416,kg
Methaan,Air Liquide Nederland BV,2022,8123,kg
VOS,Air Liquide Nederland BV,2022,13539,kg
Stikstofoxiden (als NO2),Air Liquide Nederland BV,2022,39679,kg
Methaan,Air Liquide Nederland BV,2022,227455,kg CO₂-eq
Koolstofdioxide,Air Liquide Nederland BV,2022,81376038,kg CO₂-eq
Koolstofdioxide,Air Liquide Nederland BV,2022,81376038,kg
Koolstofdioxide,Air Liquide Nederland BV,2022,518210801,kg CO₂-eq
Koolstofdioxide,Air Liquide Nederland BV,2022,518210801,kg
Grof stof,Air Liquide Pergen VOF,2022,323,kg
TSP (Totaal stof),Air Liquide Pergen VOF,2022,323,kg
Zwaveloxiden (als SO2),Air Liquide Pergen VOF,2022,1936,kg
Koolstofmonoxide,Air Liquide Pergen VOF,2022,114842,kg
Stikstofoxiden (als NO2),Air Liquide Pergen VOF,2022,340564,kg
Koolstofdioxide,Air Liquide Pergen VOF,2022,1154359637,kg CO₂-eq
Koolstofdioxide,Air Liquide Pergen VOF,2022,1154359637,kg
Benzeen,Air Products Nederland BV (Botlek),2022,159,kg
Grof stof,Air Products Nederland BV (Botlek),2022,276,kg
TSP (Totaal stof),Air Products Nederland BV (Botlek),2022,276,kg
Tolueen,Air Products Nederland BV (Botlek),2022,318,kg
Etheen,Air Products Nederland BV (Botlek),2022,1589,kg
NMVOS,Air Products Nederland BV (Botlek),2022,6356,kg
Methaan,Air Products Nederland BV (Botlek),2022,9534,kg
VOS,Air Products Nederland BV (Botlek),2022,15890,kg
Koolstofmonoxide,Air Products Nederland BV (Botlek),2022,84521,kg
Stikstofoxiden (als NO2),Air Products Nederland BV (Botlek),2022,85936,kg
Methaan,Air Products Nederland BV (Botlek),2022,266952,kg CO₂-eq
Koolstofdioxide,Air Products Nederland BV (Botlek),2022,106932844,kg CO₂-eq
Koolstofdioxide,Air Products Nederland BV (Botlek),2022,106932844,kg
Kwikverb. (als Hg),Air Products Nederland BV (Pernis),2022,1,kg
Elementair koolstof (EC2.5),Air Products Nederland BV (Pernis),2022,21,kg
Benzeen,Air Products Nederland BV (Pernis),2022,119,kg
Ammoniak,Air Products Nederland BV (Pernis),2022,233,kg
Tolueen,Air Products Nederland BV (Pernis),2022,243,kg
Chloriden,Air Products Nederland BV (Pernis),2022,427,kg
"Fijnstof (PM2,5)",Air Products Nederland BV (Pernis),2022,527,kg
Fijnstof (PM10),Air Products Nederland BV (Pernis),2022,702,kg
TSP (Totaal stof),Air Products Nederland BV (Pernis),2022,702,kg
Zwaveloxiden (als SO2),Air Products Nederland BV (Pernis),2022,1116,kg
Etheen,Air Products Nederland BV (Pernis),2022,1189,kg
Koolstofmonoxide,Air Products Nederland BV (Pernis),2022,1698,kg
NMVOS,Air Products Nederland BV (Pernis),2022,4759,kg
Methaan,Air Products Nederland BV (Pernis),2022,7135,kg
VOS,Air Products Nederland BV (Pernis),2022,11894,kg
Stikstofoxiden (als NO2),Air Products Nederland BV (Pernis),2022,20616,kg
Methaan,Air Products Nederland BV (Pernis),2022,199772,kg CO₂-eq
Koolstofdioxide,Air Products Nederland BV (Pernis),2022,502190345,kg CO₂-eq
Koolstofdioxide,Air Products Nederland BV (Pernis),2022,502190345,kg
Nikkelverb. (als Ni),Albemarle Catalysts Company B.V.,2022,3,kg
Benzeen,Albemarle Catalysts Company B.V.,2022,26,kg
Waterstofsulfide,Albemarle Catalysts Company B.V.,2022,26,kg
Tolueen,Albemarle Catalysts Company B.V.,2022,52,kg
Etheen,Albemarle Catalysts Company B.V.,2022,261,kg
Elementair koolstof (EC2.5),Albemarle Catalysts Company B.V.,2022,434,kg
Methaan,Albemarle Catalysts Company B.V.,2022,1564,kg
Grof stof,Albemarle Catalysts Company B.V.,2022,2206,kg
NMVOS,Albemarle Catalysts Company B.V.,2022,10342,kg
VOS,Albemarle Catalysts Company B.V.,2022,11906,kg
"Fijnstof (PM2,5)",Albemarle Catalysts Company B.V.,2022,14914,kg
Fijnstof (PM10),Albemarle Catalysts Company B.V.,2022,19739,kg
TSP (Totaal stof),Albemarle Catalysts Company B.V.,2022,21945,kg
Stikstofoxiden (als NO2),Albemarle Catalysts Company B.V.,2022,34050,kg
Koolstofmonoxide,Albemarle Catalysts Company B.V.,2022,37515,kg
Methaan,Albemarle Catalysts Company B.V.,2022,43784,kg CO₂-eq
Koolstofdioxide,Albemarle Catalysts Company B.V.,2022,55363740,kg CO₂-eq
Koolstofdioxide,Albemarle Catalysts Company B.V.,2022,55363740,kg
NMVOS,Alblasserdam Yachtbuilding B.V. (Oceanco),2022,42841,kg
VOS,Alblasserdam Yachtbuilding B.V. (Oceanco),2022,42841,kg
Koolstofdioxide,Alblasserdam Yachtbuilding B.V. (Oceanco),2022,604000,kg CO₂-eq
Koolstofdioxide,Alblasserdam Yachtbuilding B.V. (Oceanco),2022,604000,kg
NMVOS,Alblasserdam Yachtbuilding Construction B.V.,2022,19929,kg
VOS,Alblasserdam Yachtbuilding Construction B.V.,2022,19929,kg
Koolstofdioxide,Alblasserdam Yachtbuilding Construction B.V.,2022,1625119,kg CO₂-eq
Koolstofdioxide,Alblasserdam Yachtbuilding Construction B.V.,2022,1625119,kg
Elementair koolstof (EC2.5),Alco Energy Rotterdam,2022,14,kg
"Fijnstof (PM2,5)",Alco Energy Rotterdam,2022,377,kg
Fijnstof (PM10),Alco Energy Rotterdam,2022,402,kg
TSP (Totaal stof),Alco Energy Rotterdam,2022,402,kg
NMVOS,Alco Energy Rotterdam,2022,635,kg
VOS,Alco Energy Rotterdam,2022,635,kg
"Fijnstof (PM2,5)",Alco Energy Rotterdam,2022,10715,kg
Fijnstof (PM10),Alco Energy Rotterdam,2022,19436,kg
TSP (Totaal stof),Alco Energy Rotterdam,2022,19436,kg
NMVOS,Alco Energy Rotterdam,2022,37773,kg
VOS,Alco Energy Rotterdam,2022,37773,kg
Stikstofoxiden (als NO2),Alco Energy Rotterdam,2022,137813,kg
Koolstofdioxide,Alco Energy Rotterdam,2022,13689475,kg CO₂-eq
Koolstofdioxide,Alco Energy Rotterdam,2022,13689475,kg
Koolstofdioxide,Alco Energy Rotterdam,2022,330036468,kg CO₂-eq
Koolstofdioxide,Alco Energy Rotterdam,2022,330036468,kg
Tolueen,Aliancys Nederland B.V.,2022,1,kg
Etheen,Aliancys Nederland B.V.,2022,4,kg
NMVOS,Aliancys Nederland B.V.,2022,17,kg
Methaan,Aliancys Nederland B.V.,2022,26,kg
VOS,Aliancys Nederland B.V.,2022,43,kg
Grof stof,Aliancys Nederland B.V.,2022,96,kg
TSP (Totaal stof),Aliancys Nederland B.V.,2022,96,kg
NMVOS,Aliancys Nederland B.V.,2022,398,kg
VOS,Aliancys Nederland B.V.,2022,398,kg
Koolstofmonoxide,Aliancys Nederland B.V.,2022,607,kg
Methaan,Aliancys Nederland B.V.,2022,722,kg CO₂-eq
Stikstofoxiden (als NO2),Aliancys Nederland B.V.,2022,2808,kg
Koolstofdioxide,Aliancys Nederland B.V.,2022,939061,kg CO₂-eq
Koolstofdioxide,Aliancys Nederland B.V.,2022,939061,kg
Koolstofdioxide,Aliancys Nederland B.V.,2022,4787939,kg CO₂-eq
Koolstofdioxide,Aliancys Nederland B.V.,2022,4787939,kg
Tolueen,Allnex Netherlands B.V.,2022,1,kg
Etheen,Allnex Netherlands B.V.,2022,4,kg
Chloriden,Allnex Netherlands B.V.,2022,5,kg
Benzeen,Allnex Netherlands B.V.,2022,8,kg
Tolueen,Allnex Netherlands B.V.,2022,16,kg
Grof stof,Allnex Netherlands B.V.,2022,56,kg
TSP (Totaal stof),Allnex Netherlands B.V.,2022,56,kg
Etheen,Allnex Netherlands B.V.,2022,82,kg
NMVOS,Allnex Netherlands B.V.,2022,328,kg
Methaan,Allnex Netherlands B.V.,2022,491,kg
VOS,Allnex Netherlands B.V.,2022,819,kg
Koolstofmonoxide,Allnex Netherlands B.V.,2022,2332,kg
Stikstofoxiden (als NO2),Allnex Netherlands B.V.,2022,4326,kg
Methaan,Allnex Netherlands B.V.,2022,13756,kg CO₂-eq
NMVOS,Allnex Netherlands B.V.,2022,20257,kg
VOS,Allnex Netherlands B.V.,2022,20257,kg
Koolstofdioxide,Allnex Netherlands B.V.,2022,8067515,kg CO₂-eq
Koolstofdioxide,Allnex Netherlands B.V.,2022,8067515,kg
Elementair koolstof (EC2.5),Almatis BV,2022,88,kg
Grof stof,Almatis BV,2022,197,kg
"Fijnstof (PM2,5)",Almatis BV,2022,4192,kg
Fijnstof (PM10),Almatis BV,2022,4774,kg
TSP (Totaal stof),Almatis BV,2022,4971,kg
Stikstofoxiden (als NO2),Almatis BV,2022,173055,kg
Koolstofdioxide,Almatis BV,2022,16730447,kg CO₂-eq
Koolstofdioxide,Almatis BV,2022,16730447,kg
Halogeenverb.org.,AMC Academisch Medisch Centrum,2022,30,kg
"HFK-134a (1,1,1,2-tetrafluorethaan)",AMC Academisch Medisch Centrum,2022,30,kg
HFK's of H-F-KWS,AMC Academisch Medisch Centrum,2022,30,kg
NMVOS,AMC Academisch Medisch Centrum,2022,45,kg
VOS,AMC Academisch Medisch Centrum,2022,45,kg
Zwaveloxiden (als SO2),AMC Academisch Medisch Centrum,2022,261,kg
Stikstofoxiden (als NO2),AMC Academisch Medisch Centrum,2022,583,kg
Koolstofmonoxide,AMC Academisch Medisch Centrum,2022,30825,kg
"HFK-134a (1,1,1,2-tetrafluorethaan)",AMC Academisch Medisch Centrum,2022,38610,kg CO₂-eq
Koolstofdioxide,AMC Academisch Medisch Centrum,2022,36906000,kg CO₂-eq
Koolstofdioxide,AMC Academisch Medisch Centrum,2022,36906000,kg
Etheen,Amcor Tobacco Packaging Brabant BV,2022,71,kg
NMVOS,Amcor Tobacco Packaging Brabant BV,2022,328,kg
VOS,Amcor Tobacco Packaging Brabant BV,2022,328,kg
Koolstofdioxide,Amcor Tobacco Packaging Brabant BV,2022,911230,kg CO₂-eq
Koolstofdioxide,Amcor Tobacco Packaging Brabant BV,2022,911230,kg
"Fijnstof (PM2,5)",Amsterdam Coal Processing (ACP Rietlanden),2022,2136,kg
Fijnstof (PM10),Amsterdam Coal Processing (ACP Rietlanden),2022,14239,kg
Grof stof,Amsterdam Coal Processing (ACP Rietlanden),2022,35598,kg
TSP (Totaal stof),Amsterdam Coal Processing (ACP Rietlanden),2022,49837,kg
Koolstofdioxide,Amsterdam Meat Company Ameco BV,2022,666000,kg CO₂-eq
Koolstofdioxide,Amsterdam Meat Company Ameco BV,2022,666000,kg
Koolstofmonoxide,ARCG Stainkoeln II,2022,135,kg
Koolstofdioxide,ARCG Stainkoeln II,2022,1303464,kg CO₂-eq
Koolstofdioxide,ARCG Stainkoeln II,2022,1303464,kg
Benzeen,Archer Daniels Midland Europoort BV (ADM),2022,230,kg
Tolueen,Archer Daniels Midland Europoort BV (ADM),2022,461,kg
Grof stof,Archer Daniels Midland Europoort BV (ADM),2022,2052,kg
Etheen,Archer Daniels Midland Europoort BV (ADM),2022,2304,kg
"Fijnstof (PM2,5)",Archer Daniels Midland Europoort BV (ADM),2022,2955,kg
NMVOS,Archer Daniels Midland Europoort BV (ADM),2022,9215,kg
Methaan,Archer Daniels Midland Europoort BV (ADM),2022,13822,kg
Fijnstof (PM10),Archer Daniels Midland Europoort BV (ADM),2022,18468,kg
TSP (Totaal stof),Archer Daniels Midland Europoort BV (ADM),2022,20520,kg
VOS,Archer Daniels Midland Europoort BV (ADM),2022,23037,kg
Stikstofoxiden (als NO2),Archer Daniels Midland Europoort BV (ADM),2022,45018,kg
Koolstofmonoxide,Archer Daniels Midland Europoort BV (ADM),2022,122560,kg
Methaan,Archer Daniels Midland Europoort BV (ADM),2022,387022,kg CO₂-eq
NMVOS,Archer Daniels Midland Europoort BV (ADM),2022,935635,kg
VOS,Archer Daniels Midland Europoort BV (ADM),2022,935635,kg
Koolstofdioxide,Archer Daniels Midland Europoort BV (ADM),2022,138530000,kg CO₂-eq
Koolstofdioxide,Archer Daniels Midland Europoort BV (ADM),2022,138530000,kg
Kwikverb. (als Hg),Ardagh Glass Dongen BV,2022,4,kg
Arseenverb. (als As),Ardagh Glass Dongen BV,2022,37,kg
Loodverb. (als Pb),Ardagh Glass Dongen BV,2022,111,kg
Zinkverb. (als Zn),Ardagh Glass Dongen BV,2022,199,kg
Elementair koolstof (EC2.5),Ardagh Glass Dongen BV,2022,687,kg
Halogeenverb.org.,Ardagh Glass Dongen BV,2022,4096,kg
HFK's of H-F-KWS,Ardagh Glass Dongen BV,2022,4096,kg
NMVOS,Ardagh Glass Dongen BV,2022,4096,kg
Overige HFK's,Ardagh Glass Dongen BV,2022,4096,kg
VOS,Ardagh Glass Dongen BV,2022,4096,kg
Koolstofmonoxide,Ardagh Glass Dongen BV,2022,14890,kg
"Fijnstof (PM2,5)",Ardagh Glass Dongen BV,2022,18889,kg
Fijnstof (PM10),Ardagh Glass Dongen BV,2022,19080,kg
TSP (Totaal stof),Ardagh Glass Dongen BV,2022,19080,kg
Zwaveloxiden (als SO2),Ardagh Glass Dongen BV,2022,194055,kg
Stikstofoxiden (als NO2),Ardagh Glass Dongen BV,2022,285215,kg
Koolstofdioxide,Ardagh Glass Dongen BV,2022,69593295,kg CO₂-eq
Koolstofdioxide,Ardagh Glass Dongen BV,2022,69593295,kg
Koperverb. (als Cu),Ardagh Glass Moerdijk,2022,1,kg
Kwikverb. (als Hg),Ardagh Glass Moerdijk,2022,3,kg
Elementair koolstof (EC2.5),Ardagh Glass Moerdijk,2022,8,kg
Cadmiumverb. (als Cd),Ardagh Glass Moerdijk,2022,9,kg
Arseenverb. (als As),Ardagh Glass Moerdijk,2022,39,kg
Halogeenverb.org.,Ardagh Glass Moerdijk,2022,52,kg
HFK's of H-F-KWS,Ardagh Glass Moerdijk,2022,52,kg
NMVOS,Ardagh Glass Moerdijk,2022,52,kg
Overige HFK's,Ardagh Glass Moerdijk,2022,52,kg
VOS,Ardagh Glass Moerdijk,2022,52,kg
Chroomverb. (als Cr),Ardagh Glass Moerdijk,2022,116,kg
Loodverb. (als Pb),Ardagh Glass Moerdijk,2022,126,kg
"Fijnstof (PM2,5)",Ardagh Glass Moerdijk,2022,12785,kg
Fijnstof (PM10),Ardagh Glass Moerdijk,2022,12914,kg
TSP (Totaal stof),Ardagh Glass Moerdijk,2022,12914,kg
Stikstofoxiden (als NO2),Ardagh Glass Moerdijk,2022,71221,kg
Zwaveloxiden (als SO2),Ardagh Glass Moerdijk,2022,98032,kg
Koolstofdioxide,Ardagh Glass Moerdijk,2022,6548917,kg CO₂-eq
Koolstofdioxide,Ardagh Glass Moerdijk,2022,6548917,kg
Koolstofdioxide,Ardagh Glass Moerdijk,2022,52096382,kg CO₂-eq
Koolstofdioxide,Ardagh Glass Moerdijk,2022,52096382,kg
Benzeen,Ardagh Metal Beverage Netherlands BV,2022,11,kg
Tolueen,Ardagh Metal Beverage Netherlands BV,2022,22,kg
Etheen,Ardagh Metal Beverage Netherlands BV,2022,108,kg
NMVOS,Ardagh Metal Beverage Netherlands BV,2022,433,kg
Methaan,Ardagh Metal Beverage Netherlands BV,2022,650,kg
VOS,Ardagh Metal Beverage Netherlands BV,2022,1083,kg
Methaan,Ardagh Metal Beverage Netherlands BV,2022,18194,kg CO₂-eq
Koolstofdioxide,Ardagh Metal Beverage Netherlands BV,2022,63691,kg CO₂-eq
Koolstofdioxide,Ardagh Metal Beverage Netherlands BV,2022,63691,kg
NMVOS,Ardagh Metal Packaging Netherlands BV,2022,243894,kg
VOS,Ardagh Metal Packaging Netherlands BV,2022,243894,kg
NMVOS,Ardagh Metal Packaging Netherlands BV,2022,247388,kg
VOS,Ardagh Metal Packaging Netherlands BV,2022,247388,kg
Benzeen,Arkema BV (Rotterdam),2022,1,kg
Tolueen,Arkema BV (Rotterdam),2022,2,kg
Etheen,Arkema BV (Rotterdam),2022,11,kg
NMVOS,Arkema BV (Rotterdam),2022,44,kg
Distikstofoxide,Arkema BV (Rotterdam),2022,47,kg CO₂-eq
Methaan,Arkema BV (Rotterdam),2022,66,kg
Grof stof,Arkema BV (Rotterdam),2022,95,kg
TSP (Totaal stof),Arkema BV (Rotterdam),2022,95,kg
VOS,Arkema BV (Rotterdam),2022,111,kg
Koolstofmonoxide,Arkema BV (Rotterdam),2022,154,kg
Grof stof,Arkema BV (Rotterdam),2022,414,kg
TSP (Totaal stof),Arkema BV (Rotterdam),2022,414,kg
Methaan,Arkema BV (Rotterdam),2022,1858,kg CO₂-eq
Stikstofoxiden (als NO2),Arkema BV (Rotterdam),2022,4586,kg
Zwaveloxiden (als SO2),Arkema BV (Rotterdam),2022,24398,kg
Koolstofdioxide,Arkema BV (Rotterdam),2022,4971274,kg CO₂-eq
Koolstofdioxide,Arkema BV (Rotterdam),2022,4971274,kg
Stikstofoxiden (als NO2),Arkema BV Location Brummen,2022,260,kg
NMVOS,Arkema BV Location Brummen,2022,2148,kg
VOS,Arkema BV Location Brummen,2022,2148,kg
Koolstofdioxide,Arkema BV Location Brummen,2022,242000,kg CO₂-eq
Koolstofdioxide,Arkema BV Location Brummen,2022,242000,kg
Benzeen,ARKEMA Vlissingen BV,2022,7,kg
Tolueen,ARKEMA Vlissingen BV,2022,14,kg
Etheen,ARKEMA Vlissingen BV,2022,68,kg
Grof stof,ARKEMA Vlissingen BV,2022,72,kg
NMVOS,ARKEMA Vlissingen BV,2022,272,kg
Methaan,ARKEMA Vlissingen BV,2022,384,kg
Methaan,ARKEMA Vlissingen BV,2022,408,kg
VOS,ARKEMA Vlissingen BV,2022,680,kg
Koolstofmonoxide,ARKEMA Vlissingen BV,2022,952,kg
Stikstofoxiden (als NO2),ARKEMA Vlissingen BV,2022,1360,kg
Styreen,ARKEMA Vlissingen BV,2022,1699,kg
"Fijnstof (PM2,5)",ARKEMA Vlissingen BV,2022,3262,kg
Fijnstof (PM10),ARKEMA Vlissingen BV,2022,3473,kg
TSP (Totaal stof),ARKEMA Vlissingen BV,2022,3545,kg
Methaan,ARKEMA Vlissingen BV,2022,10752,kg CO₂-eq
Methaan,ARKEMA Vlissingen BV,2022,11424,kg CO₂-eq
NMVOS,ARKEMA Vlissingen BV,2022,14068,kg
VOS,ARKEMA Vlissingen BV,2022,14452,kg
Koolstofdioxide,ARKEMA Vlissingen BV,2022,195768,kg CO₂-eq
Koolstofdioxide,ARKEMA Vlissingen BV,2022,195768,kg
Koolstofdioxide,ARKEMA Vlissingen BV,2022,3765012,kg CO₂-eq
Koolstofdioxide,ARKEMA Vlissingen BV,2022,3765012,kg
Stikstofoxiden (als NO2),Arla Foods BV,2022,1911,kg
Koolstofdioxide,Arla Foods BV,2022,8715297,kg CO₂-eq
Koolstofdioxide,Arla Foods BV,2022,8715297,kg
Antimoonverb. (als Sb),ARN B.V.,2022,1,kg
Arseenverb. (als As),ARN B.V.,2022,1,kg
Cadmiumverb. (als Cd),ARN B.V.,2022,1,kg
Kwikverb. (als Hg),ARN B.V.,2022,2,kg
Chroomverb. (als Cr),ARN B.V.,2022,3,kg
Koperverb. (als Cu),ARN B.V.,2022,3,kg
Loodverb. (als Pb),ARN B.V.,2022,3,kg
Nikkelverb. (als Ni),ARN B.V.,2022,4,kg
Zinkverb. (als Zn),ARN B.V.,2022,7,kg
Elementair koolstof (EC2.5),ARN B.V.,2022,22,kg
